date,ig_min,tw_min,tt_min,yt_min,anxiety,soc_comp,productivity,motivation,notes
2025-11-09,48,72,78,32,7,7,8,6,"I had an early exam I woke up early and studied for it, then I drove for 2 hours, then I'have completed my chores and done my 2 interviews "
2025-11-10,81,90,85,38,8,5,4,5,After yesterday I was really tired and could not finish anything I planned for today 
2025-11-11,42,55,70,63,6,5,9,8,I have finished exactly what I planned for today + I went outside to do sports.
2025-11-12,41,88,80,76,6,7,6,6,I could not do anything after my classes 
2025-11-13,62,65,78,35,7,7,7,6,Finished more than half of my plan 
2025-11-14,56,48,96,40,6,7,8,7,I had and early day and finished my tasks + I felt satisfied with the work I have done
2025-11-15,65,83,110,25,8,9,4,5,I planned to  whole a lot of things but just procastaned instead
2025-11-16,75,64,45,80,5,8,8,8,I had an exam but I have managed work really efficient untill the exam did more than I expected
2025-11-17,55,67,75,34,7,7,3,6,I could not make myself do much even thoug I planned a lot
2025-11-18,68,50,93,39,7,8,6,7,I forced myself to finish my tasks but could not do what I expected at the end of the day 
2025-11-19,78,92,100,72,6,8,5,6,Instead of studying which was my plan for the day I had a lot of phone time
2025-11-20,59,65,48,67,7,6,7,8,I have done multiple things in different time lines even though my day was splitted I think I managed it well
2025-11-21,51,85,58,55,9,8,8,7,I have tried to do my best just one thing was left from my to do list
2025-11-22,42,82,96,32,10,9,6,5,I could not make 2 things that were on my list but when I was doing others I did not feel efficient 
2025-11-23,73,79,120,43,7,6,2,3,I was ill so could not do anything than lying on the bed whole day I have just done 1 interview  
2025-11-24,75,86,126,36,8,8,3,4,I had a lot of plans but could not finish even a minor 
2025-11-25,32,76,90,42,6,4,7,7,I have studied a fair amount of time and went to pilates 
2025-11-26,24,33,96,100,5,5,8,8,I had classes all afternoon and after the classes I was able to study and finish 2 topics 
2025-11-27,54,73,80,70,6,5,7,7,I could have done better but still I finished more than half of my to do list
2025-11-28,15,69,46,53,8,8,6,6,Could not even completed half 
2025-11-29,33,65,100,46,8,7,4,5,I just stufied before my exam but it was not efficient and so forced and in the evening I just wasted my time for nothing 
